(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Susan A. Davis, D-Calif.","U. of California, Berkeley, B.A. 1965 (sociology)
U. of North Carolina, M.A. 1968 (social work)",,,1,1,1,Calif.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Peter A. DeFazio, D-Ore.","Tufts U., B.A. 1969 (economics & political science)
U. of Oregon, attended 1969-71 (international studies)
U. of Oregon, M.S. 1977 (public administration & gerontology)",,,1,1,1,Ore.,1,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rosa DeLauro, D-Conn.","London School of Economics, attended 1962-63
Marymount College (N.Y.), B.A. 1964
Columbia U., M.A. 1966 (international politics)",,,1,1,1,Conn.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Suzan DelBene, D-Wash.","Reed College, B.A. 1983 (biology)
U. of Washington, M.B.A. 1990",,,1,1,1,Wash.,1,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bill Flores, R-Texas","Texas A&M U., B.B.A. 1976 (accounting)
Houston Baptist U., M.B.A. 1985",,,1,1,1,Texas,1,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jeff Fortenberry, R-Neb.","Louisiana State U., B.A. 1982 (economics)
Georgetown U., M.P.P. 1986
Franciscan U. of Steubenville, M.Div. 1996 (theology)",,,1,1,1,Neb.,1,0,0,0,0,1,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Virginia Foxx, R-N.C.","Lees-McRae College, attended 1961
Appalachian State Teachers' College, attended 1962-63
U. of North Carolina, B.A. 1968 (English)
U. of North Carolina, M.A.C.T. 1972 (sociology)
U. of North Carolina, Greensboro, Ed.D. 1985 (curriculum and teaching/higher education)",,,1,1,1,N.C.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Garamendi, D-Calif.","U. of California, Berkeley, B.S. 1966 (business administration)
Harvard U., M.B.A. 1970",,,1,1,1,Calif.,1,1,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Andy Harris, R-Md.","U. of Pennsylvania, attended 1973-75
Johns Hopkins U., B.A. 1977 (human biology)
Johns Hopkins U., M.D. 1980
Johns Hopkins U., M.H.S. 1995 (health finance & management)",,,1,1,1,Md.,1,0,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jody B. Hice, R-Ga.","Asbury College, B.A. 1982 (Bible Theology)
Southwestern Baptist Theological Seminary, M.Div. 1986
Luther Rice U., D.Min. 1988",,,1,1,1,Ga.,1,0,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
